"REMIND";"Variable";"factor";"remark"
"Cap|Electricity (GW)";"Capacity|Electricity (GW)";1;
"Cap|Electricity|Biomass (GW)";"Capacity|Electricity|Biomass (GW)";1;
"Cap|Electricity|Biomass|w/ CC (GW)";"Capacity|Electricity|Biomass|w/ CCS (GW)";1;
"Cap|Electricity|Biomass|w/o CC (GW)";"Capacity|Electricity|Biomass|w/o CCS (GW)";1;
"Cap|Electricity|Coal (GW)";"Capacity|Electricity|Coal (GW)";1;
"Cap|Electricity|Coal|w/ CC (GW)";"Capacity|Electricity|Coal|w/ CCS (GW)";1;
"Cap|Electricity|Coal|w/o CC (GW)";"Capacity|Electricity|Coal|w/o CCS (GW)";1;
"Cap|Electricity|Gas (GW)";"Capacity|Electricity|Gas (GW)";1;
"Cap|Electricity|Gas|CC|w/ CC (GW)";"Capacity|Electricity|Gas|CC|w/ CCS (GW)";1;
"Cap|Electricity|Gas|CC|w/o CC (GW)";"Capacity|Electricity|Gas|CC|w/o CCS (GW)";1;
"Cap|Electricity|Gas|w/ CC (GW)";"Capacity|Electricity|Gas|w/ CCS (GW)";1;
"Cap|Electricity|Gas|w/o CC (GW)";"Capacity|Electricity|Gas|w/o CCS (GW)";1;
"Cap|Electricity|Geothermal (GW)";"Capacity|Electricity|Geothermal (GW)";1;
"Cap|Electricity|Hydro (GW)";"Capacity|Electricity|Hydro (GW)";1;
"Cap|Electricity|Hydrogen (GW)";"Capacity|Electricity|Hydrogen (GW)";1;
"Cap|Electricity|Nuclear (GW)";"Capacity|Electricity|Nuclear (GW)";1;
"Cap|Electricity|Oil|w/o CC (GW)";"Capacity|Electricity|Oil (GW)";1;
"Cap|Electricity|Peak Demand|Estimated from FE x 1p4 x 1p1 (GW)";"Capacity|Electricity|Peak Demand (GW)";1;
"Cap|Electricity|Solar (GW)";"Capacity|Electricity|Solar (GW)";1;
"Cap|Electricity|Solar|CSP (GW)";"Capacity|Electricity|Solar|CSP (GW)";1;
"Cap|Electricity|Solar|PV (GW)";"Capacity|Electricity|Solar|PV (GW)";1;
"Cap|Electricity|Wind (GW)";"Capacity|Electricity|Wind (GW)";1;
"Cap|Electricity|Wind|Onshore (GW)";"Capacity|Electricity|Wind|Onshore (GW)";1;
"Emi|BC (Mt BC/yr)";"Emissions|BC (Mt BC/yr)";1;
"Emi|CH4 (Mt CH4/yr)";"Emissions|CH4 (Mt CH4/yr)";1;
"Emi|CO (Mt CO/yr)";"Emissions|CO (Mt CO/yr)";1;
"Emi|CO2 (Mt CO2/yr)";"Emissions|CO2 (Mt CO2/yr)";1;
"Emi|CO2|Energy|Demand|Buildings (Mt CO2/yr)";"Emissions|CO2|Energy|Demand|Residential and Commercial (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Negative (Mt CO2/yr)";"Emissions|CO2|Energy|Negative (Mt CO2/yr)";1;
"Emissions|CO2|DACCS sequestered (Mt CO2/yr)";"Emissions|CO2|DACCS sequestered (Mt CO2/yr)";1;
"Emissions|CO2|Other (Mt CO2/yr)";"Emissions|CO2|Other (Mt CO2/yr)";1;
"Emi|CO2|Energy (Mt CO2/yr)";"Emissions|CO2|Energy (Mt CO2/yr)";1;
"Emi|CO2|Energy|Demand|Industry (Mt CO2/yr)";"Emissions|CO2|Energy|Demand|Industry (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Electricity (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Electricity (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Gases (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Gases (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross) (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Heat (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Heat (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Hydrogen (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Hydrogen (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Liquids (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Liquids (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Solids (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Solids (Mt CO2/yr)";1;
"Emi|CO2|ES (Mt CO2/yr)";"Emissions|CO2|ESD (Mt CO2/yr)";1;
"Emi|CO2|ETS (Mt CO2/yr)";"Emissions|CO2|ETS (Mt CO2/yr)";1;
"Emi|CO2|Industrial Processes (Mt CO2/yr)";"Emissions|CO2|Industrial Processes (Mt CO2/yr)";1;
"Emi|CO2|Energy|Demand (Mt CO2/yr)";"Emissions|CO2|Energy|Demand (Mt CO2/yr)";1;
"Emissions|CO2|AFOLU (Mt CO2/yr)";"Emissions|CO2|AFOLU (Mt CO2/yr)";1;
"Emi|CO2|other - Non ETS and ES (Mt CO2/yr)";"Emissions|CO2|Other regulation (Mt CO2/yr)";1;
"Emi|CO2|Energy|Demand|Transport (Mt CO2/yr)";"Emissions|CO2|Energy|Demand|Transportation (Mt CO2/yr)";1;
"Emi|F-Gases (Mt CO2-equiv/yr)";"Emissions|F-Gases (Mt CO2eq/yr)";1;
"Emi|HFC (kt HFC134a-equiv/yr)";"Emissions|HFC (kt HFC134a-equiv/yr)";1;
"Emi|GHG (Mt CO2eq/yr)";"Emissions|Kyoto Gases (Mt CO2eq/yr)";1;
"Emi|N2O (kt N2O/yr)";"Emissions|N2O (kt N2O/yr)";1;
"Emi|NH3 (Mt NH3/yr)";"Emissions|NH3 (Mt NH3/yr)";1;
"Emi|OC (Mt OC/yr)";"Emissions|OC (Mt OC/yr)";1;
"Emi|PFC (kt CF4-equiv/yr)";"Emissions|PFC (kt CF4-equiv/yr)";1;
"Emi|SF6 (kt SF6/yr)";"Emissions|SF6 (kt SF6/yr)";1;
"Emi|SO2 (Mt SO2/yr)";"Emissions|Sulfur (Mt SO2/yr)";1;
"Emi|VOC (Mt VOC/yr)";"Emissions|VOC (Mt VOC/yr)";1;
"NA";"Emissions|CO2|Energy|Supply (Gross)|Other (Mt CO2/yr)";"NA";
"ES|Transport|Freight (bn tkm/yr)";"Services and Products|Transportation|Freight (Gtkm/yr)";1;
"ES|Transport|Pass (bn pkm/yr)";"Services and Products|Transportation|Passenger (Gpkm/yr)";1;
"ES|Transport|Pass|LDV (bn pkm/yr)";"Services and Products|Transportation|Passenger|LDV (Gpkm/yr)";1;
"ES|Transport|Pass|non-LDV (bn pkm/yr)";"Services and Products|Transportation|Passenger|HDV (Gpkm/yr)";1;
"FE (EJ/yr)";"Final Energy (PJ/yr)";0.001;
"FE|Buildings (EJ/yr)";"Final Energy|Residential and Commercial (PJ/yr)";0.001;
"FE|Buildings|Appliances and Light (EJ/yr)";"Final Energy|Residential and Commercial|Appliances and Lighting (PJ/yr)";0.001;
"FE|Buildings|Appliances and Light|Electricity (EJ/yr)";"Final Energy|Residential and Commercial|Appliances and Lighting|Electricity (PJ/yr)";0.001;
"FE|Buildings|Cooking and Water (EJ/yr)";"Final Energy|Residential and Commercial|Water Heating and Cooking (PJ/yr)";0.001;
"FE|Buildings|Cooking and Water|Electricity (EJ/yr)";"Final Energy|Residential and Commercial|Water Heating and Cooking|Electricity (PJ/yr)";0.001;
"FE|Buildings|Cooking and Water|Electricity|Heat pumps (EJ/yr)";"Final Energy|Residential and Commercial|Water Heating and Cooking|Electricity|Heat Pumps (PJ/yr)";0.001;
"FE|Buildings|Cooking and Water|Electricity|Resistance (EJ/yr)";"Final Energy|Residential and Commercial|Water Heating and Cooking|Electricity|Resistive (PJ/yr)";0.001;
"FE|Buildings|Cooking and Water|Gases (EJ/yr)";"Final Energy|Residential and Commercial|Water Heating and Cooking|Gases (PJ/yr)";0.001;
"FE|Buildings|Cooking and Water|Heat (EJ/yr)";"Final Energy|Residential and Commercial|Water Heating and Cooking|Heat (PJ/yr)";0.001;
"FE|Buildings|Cooking and Water|Hydrogen (EJ/yr)";"Final Energy|Residential and Commercial|Water Heating and Cooking|Hydrogen (PJ/yr)";0.001;
"FE|Buildings|Cooking and Water|Liquids (EJ/yr)";"Final Energy|Residential and Commercial|Water Heating and Cooking|Liquids (PJ/yr)";0.001;
"FE|Buildings|Cooking and Water|Solids (EJ/yr)";"Final Energy|Residential and Commercial|Water Heating and Cooking|Solids (PJ/yr)";0.001;
"FE|Buildings|Electricity (EJ/yr)";"Final Energy|Residential and Commercial|Electricity (PJ/yr)";0.001;
"FE|Buildings|Gases (EJ/yr)";"Final Energy|Residential and Commercial|Gases (PJ/yr)";0.001;
"FE|Buildings|Heat (EJ/yr)";"Final Energy|Residential and Commercial|Heat (PJ/yr)";0.001;
"FE|Buildings|Hydrogen (EJ/yr)";"Final Energy|Residential and Commercial|Hydrogen (PJ/yr)";0.001;
"FE|Buildings|Liquids (EJ/yr)";"Final Energy|Residential and Commercial|Liquids (PJ/yr)";0.001;
"FE|Buildings|Solids (EJ/yr)";"Final Energy|Residential and Commercial|Solids (PJ/yr)";0.001;
"FE|Buildings|Space Cooling (EJ/yr)";"Final Energy|Residential and Commercial|Space Cooling (PJ/yr)";0.001;
"FE|Buildings|Space Cooling|Electricity (EJ/yr)";"Final Energy|Residential and Commercial|Space Cooling|Electricity (PJ/yr)";0.001;
"FE|Buildings|Space Heating (EJ/yr)";"Final Energy|Residential and Commercial|Space Heating (PJ/yr)";0.001;
"FE|Buildings|Space Heating|Electricity (EJ/yr)";"Final Energy|Residential and Commercial|Space Heating|Electricity (PJ/yr)";0.001;
"FE|Buildings|Space Heating|Electricity|Heat pumps (EJ/yr)";"Final Energy|Residential and Commercial|Space Heating|Electricity|Heat Pumps (PJ/yr)";0.001;
"FE|Buildings|Space Heating|Electricity|Resistance (EJ/yr)";"Final Energy|Residential and Commercial|Space Heating|Electricity|Resistive (PJ/yr)";0.001;
"FE|Buildings|Space Heating|Gases (EJ/yr)";"Final Energy|Residential and Commercial|Space Heating|Gases (PJ/yr)";0.001;
"FE|Buildings|Space Heating|Heat (EJ/yr)";"Final Energy|Residential and Commercial|Space Heating|Heat (PJ/yr)";0.001;
"FE|Buildings|Space Heating|Hydrogen (EJ/yr)";"Final Energy|Residential and Commercial|Space Heating|Hydrogen (PJ/yr)";0.001;
"FE|Buildings|Space Heating|Liquids (EJ/yr)";"Final Energy|Residential and Commercial|Space Heating|Liquids (PJ/yr)";0.001;
"FE|Buildings|Space Heating|Solids (EJ/yr)";"Final Energy|Residential and Commercial|Space Heating|Solids (PJ/yr)";0.001;
"FE|CDR (EJ/yr)";"Final Energy|Carbon Dioxide Removal (PJ/yr)";0.001;
"FE|CDR|Electricity (EJ/yr)";"Final Energy|Carbon Dioxide Removal|Electricity (PJ/yr)";0.001;
"FE|CDR|Gases (EJ/yr)";"Final Energy|Carbon Dioxide Removal|Gases (PJ/yr)";0.001;
"FE|CDR|Hydrogen (EJ/yr)";"Final Energy|Carbon Dioxide Removal|Hydrogen (PJ/yr)";0.001;
"FE|CDR|Liquids (EJ/yr)";"Final Energy|Carbon Dioxide Removal|Liquids (PJ/yr)";0.001;
"FE|Electricity (EJ/yr)";"Final Energy|Electricity (PJ/yr)";0.001;
"FE|Gases (EJ/yr)";"Final Energy|Gases (PJ/yr)";0.001;
"FE|Heat (EJ/yr)";"Final Energy|Heat (PJ/yr)";0.001;
"FE|Hydrogen (EJ/yr)";"Final Energy|Hydrogen (PJ/yr)";0.001;
"FE|Industry (EJ/yr)";"Final Energy|Industry (PJ/yr)";0.001;
"FE|Industry|Electricity (EJ/yr)";"Final Energy|Industry|Electricity (PJ/yr)";0.001;
"FE|Industry|Gases (EJ/yr)";"Final Energy|Industry|Gases (PJ/yr)";0.001;
"FE|Industry|Heat (EJ/yr)";"Final Energy|Industry|Heat (PJ/yr)";0.001;
"FE|Industry|Hydrogen (EJ/yr)";"Final Energy|Industry|Hydrogen (PJ/yr)";0.001;
"FE|Industry|Liquids (EJ/yr)";"Final Energy|Industry|Liquids (PJ/yr)";0.001;
"FE|Industry|Solids (EJ/yr)";"Final Energy|Industry|Solids (PJ/yr)";0.001;
"FE|Liquids (EJ/yr)";"Final Energy|Liquids (PJ/yr)";0.001;
"FE|Solids (EJ/yr)";"Final Energy|Solids (PJ/yr)";0.001;
"FE|Transport (EJ/yr)";"Final Energy|Transportation (PJ/yr)";0.001;
"FE|Transport|Electricity (EJ/yr)";"Final Energy|Transportation|Electricity (PJ/yr)";0.001;
"FE|Transport|Freight (EJ/yr)";"Final Energy|Transportation|Freight (PJ/yr)";0.001;
"FE|Transport|Hydrogen (EJ/yr)";"Final Energy|Transportation|Hydrogen (PJ/yr)";0.001;
"FE|Transport|Liquids (EJ/yr)";"Final Energy|Transportation|Liquids (PJ/yr)";0.001;
"FE|Transport|Pass (EJ/yr)";"Final Energy|Transportation|Passenger (PJ/yr)";0.001;
"FE|Transport|Pass|Electricity (EJ/yr)";"Final Energy|Transportation|Passenger|Electricity (PJ/yr)";0.001;
"FE|Transport|Pass|Hydrogen (EJ/yr)";"Final Energy|Transportation|Passenger|Hydrogen (PJ/yr)";0.001;
"NA";"Final Energy|Transportation|Passenger|HDV (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|LDV (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|LDV|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|LDV|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|LDV|Liquids (PJ/yr)";"NA";
"FE|Transport|Pass|Train|Electricity (EJ/yr)";"Final Energy|Transportation|Passenger|Train|Electricity (PJ/yr)";0.001;
"Floorspace demand (million m2)";"Services and Products|Residential and Commercial|Floorspace demand (million m2)";1;
"GDP|MER (billion US$2005/yr)";"Economy|GDP|MER (billion EUR2015/yr)";0.9259259;
"GDP|PPP (billion US$2005/yr)";"Economy|GDP|PPP (billion EUR2015/yr)";0.9259259;
"NA";"Capacity Additions|Electricity|Gas|CC (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Gas|OC (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Geothermal (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Hydrogen|CC (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Hydrogen|FC (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Hydrogen|OC (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Ocean (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Oil (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Other (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Storage (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Storage|CAES (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Storage|Hydro Dam Reservoir (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Storage|Pump Hydro (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Storage|Stationary Batteries (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Storage|Vehicles (GW/yr)";"NA";
"NA";"Capacity Additions|Electricity|Transmission Grid (GWkm/yr)";"NA";
"NA";"Capacity Additions|Electricity|Wind|Offshore (GW/yr)";"NA";
"NA";"Capacity|Electricity|Coal|Hard Coal (GW)";"NA";
"NA";"Capacity|Electricity|Coal|Lignite (GW)";"NA";
"NA";"Capacity|Electricity|Gas|CC (GW)";"NA";
"NA";"Capacity|Electricity|Gas|OC (GW)";"NA";
"NA";"Capacity|Electricity|Hydrogen|CC (GW)";"NA";
"NA";"Capacity|Electricity|Hydrogen|FC (GW)";"NA";
"NA";"Capacity|Electricity|Hydrogen|OC (GW)";"NA";
"NA";"Capacity|Electricity|Ocean (GW)";"NA";
"NA";"Capacity|Electricity|Other (GW)";"NA";
"NA";"Capacity|Electricity|Storage (GW)";"NA";
"NA";"Capacity|Electricity|Storage|CAES (GW)";"NA";
"NA";"Capacity|Electricity|Storage|Hydro Dam Reservoir (GW)";"NA";
"NA";"Capacity|Electricity|Storage|Pump Hydro (GW)";"NA";
"NA";"Capacity|Electricity|Storage|Stationary Batteries (GW)";"NA";
"NA";"Capacity|Electricity|Storage|Vehicles (GW)";"NA";
"NA";"Capacity|Electricity|Transmission Grid (GWkm)";"NA";
"NA";"Capacity|Electricity|Wind|Offshore (GW)";"NA";
"Carbon Management|Carbon Sinks|Storage (Mt CO2/yr)";"Carbon Management|Carbon Capture (Mt CO2/yr)";1;
"Emi|CO2|Carbon Capture and Storage|Biomass (Mt CO2/yr)";"Carbon Management|Carbon Capture|Primary Energy|Biomass (Mt CO2/yr)";1;
"Emi|CO2|Carbon Capture and Storage|Fossil|Pe2Se (Mt CO2/yr)";"Carbon Management|Carbon Capture|Primary Energy|Fossil (Mt CO2/yr)";1;
"Carbon Sequestration|Direct Air Capture (Mt CO2/yr)";"Carbon Management|Carbon Capture|Process|Direct Air Capture (Mt CO2/yr)";1;
"Carbon Management|Carbon Sinks|Storage|Biomass|Pe2Se (Mt CO2/yr)";"Carbon Management|Carbon Capture|Process|Energy (Mt CO2/yr)";1;
"NA";"Carbon Management|Carbon Capture|Process|Energy|Electricity (Mt CO2/yr)";"NA";
"Carbon Management|Carbon Capture|Process|Energy|Other (Mt CO2/yr)";"Carbon Management|Carbon Capture|Process|Energy|Other (Mt CO2/yr)";1;
"NA";"Carbon Management|Carbon Capture|Process|Industrial Processes (Mt CO2/yr)";"NA";"Carbon Management|Carbon Sinks|Storage|+|Industry Energy (Mt CO2/yr) + Carbon Management|Carbon Sources|+|Industry Process (Mt CO2/yr)"
"Carbon Sequestration|CCU (Mt CO2/yr)";"Carbon Management|CCU (Mt CO2/yr)";1;
"Emissions|CO2|AFOLU (Mt CO2/yr)";"Carbon Management|Land Use (Mt CO2/yr)";-1;
"Carbon Sequestration|CCS (Mt CO2/yr)";"Carbon Management|Underground Storage (Mt CO2/yr)";1;
"NA";"Economy|Capital Stock|Residential and Commercial (billion EUR2015/yr)";"NA";
"NA";"Economy|Capital Stock|Residential and Commercial|Appliances and Lighting (billion EUR2015/yr)";"NA";
"NA";"Economy|Capital Stock|Residential and Commercial|Insulation (billion EUR2015/yr)";"NA";
"NA";"Economy|Capital Stock|Residential and Commercial|Space Cooling (billion EUR2015/yr)";"NA";
"NA";"Economy|Capital Stock|Residential and Commercial|Space Heating (billion EUR2015/yr)";"NA";
"NA";"Economy|Capital Stock|Residential and Commercial|Water Heating and Cooking (billion EUR2015/yr)";"NA";
"NA";"Economy|Capital Stock|Residential and Commercial|Water Heating and Cooking|Cooking (billion EUR2015/yr)";"NA";
"NA";"Economy|Capital Stock|Residential and Commercial|Water Heating and Cooking|Water Heating (billion EUR2015/yr)";"NA";
"NA";"Emissions|CO2|Energy|Demand|AFOFI (Mt CO2/yr)";"NA";
"NA";"Emissions|CO2|Energy|Demand|Commercial (Mt CO2/yr)";"NA";
"NA";"Emissions|CO2|Energy|Demand|Other Sector (Mt CO2/yr)";"NA";
"NA";"Emissions|CO2|Energy|Demand|Residential (Mt CO2/yr)";"NA";
"NA";"Emissions|CO2|Energy|Demand|Transportation|Freight (Mt CO2/yr)";"NA";
"NA";"Emissions|CO2|Energy|Demand|Transportation|Passenger (Mt CO2/yr)";"NA";
"NA";"Emissions|CO2|Energy|Supply (Gross)|Industry (Mt CO2/yr)";"NA";
"NA";"Emissions|CO2|Energy|Supply (Gross)|Residential and Commercial (Mt CO2/yr)";"NA";
"NA";"Emissions|CO2|Energy|Supply (Gross)|Transportation (Mt CO2/yr)";"NA";
"NA";"Emissions|Kyoto Gases|AFOLU (Mt CO2eq/yr)";"NA";
"NA";"Emissions|Kyoto Gases|Energy (Mt CO2eq/yr)";"NA";
"NA";"Emissions|Kyoto Gases|Industrial Processes (Mt CO2eq/yr)";"NA";
"NA";"Emissions|Kyoto Gases|Other (Mt CO2eq/yr)";"NA";
"NA";"Emissions|NOx (Mt NOx/yr)";"NA";
"NA";"Final Energy|Carbon Dioxide Removal|Heat (PJ/yr)";"NA";
"NA";"Final Energy|Carbon Dioxide Removal|Other (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Cement (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Cement|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Cement|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Cement|Heat (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Cement|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Cement|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Cement|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Chemicals (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Chemicals|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Chemicals|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Chemicals|Heat (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Chemicals|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Chemicals|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Chemicals|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Other (PJ/yr)";"NA";
"NA";"Final Energy|Industry|other Industries (PJ/yr)";"NA";
"NA";"Final Energy|Industry|other Industries|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Industry|other Industries|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Industry|other Industries|Heat (PJ/yr)";"NA";
"NA";"Final Energy|Industry|other Industries|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Industry|other Industries|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Industry|other Industries|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Steel (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Steel|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Steel|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Steel|Heat (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Steel|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Steel|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Industry|Steel|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Non-Energy Use (PJ/yr)";"NA";
"NA";"Final Energy|Non-Energy Use|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Non-Energy Use|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Non-Energy Use|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Other (PJ/yr)";"NA";
"NA";"Final Energy|Other Sector (PJ/yr)";"NA";
"NA";"Final Energy|Other Sector|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Other Sector|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Other Sector|Heat (PJ/yr)";"NA";
"NA";"Final Energy|Other Sector|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Other Sector|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Other Sector|Other (PJ/yr)";"NA";
"NA";"Final Energy|Other Sector|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Appliances and Lighting|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Appliances and Lighting|Heat (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Appliances and Lighting|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Appliances and Lighting|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Appliances and Lighting|Other (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Appliances and Lighting|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Cooking (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Cooking|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Cooking|Electricity|Heat Pumps (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Cooking|Electricity|Resistive (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Cooking|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Residential and Commercial|Cooking|Heat (PJ/yr)";"NA";
