"REMIND";"Variable";"factor";"remark"
"NA";"Useful Energy|Transportation|Freight|within Europe|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Other (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Domestic Airplane (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Domestic Airplane|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Domestic Airplane|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Domestic Airplane|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|HDV (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|HDV|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|HDV|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|HDV|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|HDV|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International|Electricty (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|LDV (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|LDV|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|LDV|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|LDV|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|LDV|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe|Electricty (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe|Solids (PJ/yr)";"NA";
"NA";"Capacity Additions|Electricity (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Biomass (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Biomass|w/ CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Biomass|w/o CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Coal (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Coal|w/ CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Coal|w/o CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Gas (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Gas|CC|w/ CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Gas|CC|w/o CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Gas|w/ CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Gas|w/o CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Hydro (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Hydrogen (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Nuclear (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Solar (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Solar|CSP (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Solar|PV (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Wind (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Wind|Onshore (GW/yr)";"NA";"zero values in source"
"OandM costs (billion US$2005/yr)";"Total Energy System Cost|O&M Costs (billion EUR2015/yr)";0.9259259;
"PE (EJ/yr)";"Primary Energy (PJ/yr)";0.001;
"PE|Biomass (EJ/yr)";"Primary Energy|Biomass (PJ/yr)";0.001;
"PE|Biomass|Electricity (EJ/yr)";"Primary Energy|Biomass|Electricity (PJ/yr)";0.001;
"PE|Biomass|Electricity|w/ CC (EJ/yr)";"Primary Energy|Biomass|Electricity|w/ CCS (PJ/yr)";0.001;
"PE|Biomass|Electricity|w/o CC (EJ/yr)";"Primary Energy|Biomass|Electricity|w/o CCS (PJ/yr)";0.001;
"PE|Biomass|Gases (EJ/yr)";"Primary Energy|Biomass|Gases (PJ/yr)";0.001;
"PE|Biomass|Heat (EJ/yr)";"Primary Energy|Biomass|Heat (PJ/yr)";0.001;
"PE|Biomass|Hydrogen (EJ/yr)";"Primary Energy|Biomass|Hydrogen (PJ/yr)";0.001;
"PE|Biomass|Hydrogen|w/ CC (EJ/yr)";"Primary Energy|Biomass|Hydrogen|w/ CCS (PJ/yr)";0.001;
"PE|Biomass|Hydrogen|w/o CC (EJ/yr)";"Primary Energy|Biomass|Hydrogen|w/o CCS (PJ/yr)";0.001;
"PE|Biomass|Liquids (EJ/yr)";"Primary Energy|Biomass|Liquids (PJ/yr)";0.001;
"PE|Biomass|Liquids|w/ CC (EJ/yr)";"Primary Energy|Biomass|Liquids|w/ CCS (PJ/yr)";0.001;
"PE|Biomass|Liquids|w/o CC (EJ/yr)";"Primary Energy|Biomass|Liquids|w/o CCS (PJ/yr)";0.001;
"PE|Biomass|Solids (EJ/yr)";"Primary Energy|Biomass|Solids (PJ/yr)";0.001;
"PE|Biomass|w/ CC (EJ/yr)";"Primary Energy|Biomass|w/ CCS (PJ/yr)";0.001;
"PE|Biomass|w/o CC (EJ/yr)";"Primary Energy|Biomass|w/o CCS (PJ/yr)";0.001;
"PE|Coal (EJ/yr)";"Primary Energy|Coal (PJ/yr)";0.001;
"PE|Coal|Electricity (EJ/yr)";"Primary Energy|Coal|Electricity (PJ/yr)";0.001;
"PE|Coal|Electricity|w/ CC (EJ/yr)";"Primary Energy|Coal|Electricity|w/ CCS (PJ/yr)";0.001;
"PE|Coal|Electricity|w/o CC (EJ/yr)";"Primary Energy|Coal|Electricity|w/o CCS (PJ/yr)";0.001;
"PE|Coal|Gases (EJ/yr)";"Primary Energy|Coal|Gases (PJ/yr)";0.001;
"PE|Coal|Heat (EJ/yr)";"Primary Energy|Coal|Heat (PJ/yr)";0.001;
"PE|Coal|Hydrogen (EJ/yr)";"Primary Energy|Coal|Hydrogen (PJ/yr)";0.001;
"PE|Coal|Liquids (EJ/yr)";"Primary Energy|Coal|Liquids (PJ/yr)";0.001;
"PE|Coal|Solids (EJ/yr)";"Primary Energy|Coal|Solids (PJ/yr)";0.001;
"PE|Coal|w/ CC (EJ/yr)";"Primary Energy|Coal|w/ CCS (PJ/yr)";0.001;
"PE|Coal|w/o CC (EJ/yr)";"Primary Energy|Coal|w/o CCS (PJ/yr)";0.001;
"PE|Fossil (EJ/yr)";"Primary Energy|Fossil (PJ/yr)";0.001;
"PE|Fossil|w/ CC (EJ/yr)";"Primary Energy|Fossil|w/ CCS (PJ/yr)";0.001;
"PE|Fossil|w/o CC (EJ/yr)";"Primary Energy|Fossil|w/o CCS (PJ/yr)";0.001;
"PE|Gas (EJ/yr)";"Primary Energy|Gas (PJ/yr)";0.001;
"PE|Gas|Electricity (EJ/yr)";"Primary Energy|Gas|Electricity (PJ/yr)";0.001;
"PE|Gas|Electricity|w/ CC (EJ/yr)";"Primary Energy|Gas|Electricity|w/ CCS (PJ/yr)";0.001;
"PE|Gas|Electricity|w/o CC (EJ/yr)";"Primary Energy|Gas|Electricity|w/o CCS (PJ/yr)";0.001;
"PE|Gas|Gases (EJ/yr)";"Primary Energy|Gas|Gases (PJ/yr)";0.001;
"PE|Gas|Heat (EJ/yr)";"Primary Energy|Gas|Heat (PJ/yr)";0.001;
"PE|Gas|Hydrogen (EJ/yr)";"Primary Energy|Gas|Hydrogen (PJ/yr)";0.001;
"PE|Gas|Hydrogen|w/ CC (EJ/yr)";"Primary Energy|Gas|Hydrogen|w/ CCS (PJ/yr)";0.001;
"PE|Gas|Hydrogen|w/o CC (EJ/yr)";"Primary Energy|Gas|Hydrogen|w/o CCS (PJ/yr)";0.001;
"PE|Gas|Liquids (EJ/yr)";"Primary Energy|Gas|Liquids (PJ/yr)";0.001;
"PE|Gas|w/ CC (EJ/yr)";"Primary Energy|Gas|w/ CCS (PJ/yr)";0.001;
"PE|Gas|w/o CC (EJ/yr)";"Primary Energy|Gas|w/o CCS (PJ/yr)";0.001;
"PE|Geothermal (EJ/yr)";"Primary Energy|Geothermal (PJ/yr)";0.001;
"PE|Hydro (EJ/yr)";"Primary Energy|Hydro (PJ/yr)";0.001;
"PE|Non-Biomass Renewables (EJ/yr)";"Primary Energy|Non-Biomass Renewables (PJ/yr)";0.001;
"PE|Nuclear (EJ/yr)";"Primary Energy|Nuclear (PJ/yr)";0.001;
"PE|Oil (EJ/yr)";"Primary Energy|Oil (PJ/yr)";0.001;
"PE|Oil|w/o CC (EJ/yr)";"Primary Energy|Oil|w/o CCS (PJ/yr)";0.001;
"PE|Solar (EJ/yr)";"Primary Energy|Solar (PJ/yr)";0.001;
"PE|Wind (EJ/yr)";"Primary Energy|Wind (PJ/yr)";0.001;
"Population (million)";"Economy|Population (million people)";1;
"Price|Biomass|World Market (US$2005/GJ)";"Price|Primary Energy|Biomass (EUR2015/GJ)";0.9259259;
"Price|Carbon (US$2005/t CO2)";"Price|Carbon|Net|Transport (EUR2015/t CO2)";0.9259259;
"Price|Carbon (US$2005/t CO2)";"Price|Carbon|EU-wide Regulation All Sectors (EUR2015/t CO2)";0.9259259;
"Price|Primary Energy|Coal (US$2005/GJ)";"Price|Primary Energy|Coal (EUR2015/GJ)";0.9259259;
"Price|Secondary Energy|Solids|Fossil (US$2005/GJ)";"Price|Secondary Energy|Solids|Coal (EUR2015/GJ)";0.9259259;
"Price|Primary Energy|Oil (US$2005/GJ)";"Price|Primary Energy|Oil (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Buildings|Electricity (US$2005/GJ)";"Price|Final Energy|Residential and Commercial|Electricity (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Industry|Electricity (US$2005/GJ)";"Price|Final Energy|Industry|Electricity (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Buildings|Gases (US$2005/GJ)";"Price|Final Energy|Residential and Commercial|Gases (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Industry|Gases (US$2005/GJ)";"Price|Final Energy|Industry|Gases (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Buildings|Heat (US$2005/GJ)";"Price|Final Energy|Residential and Commercial|Heat (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Industry|Heat (US$2005/GJ)";"Price|Final Energy|Industry|Heat (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Buildings|Heating Oil (US$2005/GJ)";"Price|Final Energy|Residential and Commercial|Liquids (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Industry|Heating Oil (US$2005/GJ)";"Price|Final Energy|Industry|Liquids (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Buildings|Hydrogen (US$2005/GJ)";"Price|Final Energy|Residential and Commercial|Hydrogen (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Industry|Hydrogen (US$2005/GJ)";"Price|Final Energy|Industry|Hydrogen (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Buildings|Solids (US$2005/GJ)";"Price|Final Energy|Residential and Commercial|Solids (EUR2015/GJ)";0.9259259;
"Price|Final Energy|Industry|Solids (US$2005/GJ)";"Price|Final Energy|Industry|Solids (EUR2015/GJ)";0.9259259;
"Price|Primary Energy|Gas (US$2005/GJ)";"Price|Primary Energy|Gas (EUR2015/GJ)";0.9259259;
"Price|Secondary Energy|Electricity (US$2005/GJ)";"Price|Secondary Energy|Electricity (EUR2015/GJ)";0.9259259;
"Price|Secondary Energy|Gases (US$2005/GJ)";"Price|Secondary Energy|Gases (EUR2015/GJ)";0.9259259;
"Price|Secondary Energy|Hydrogen (US$2005/GJ)";"Price|Secondary Energy|Hydrogen (EUR2015/GJ)";0.9259259;
"Price|Secondary Energy|Liquids (US$2005/GJ)";"Price|Secondary Energy|Liquids (EUR2015/GJ)";0.9259259;
"Price|Secondary Energy|Solids|Biomass (US$2005/GJ)";"Price|Secondary Energy|Solids|Biomass (EUR2015/GJ)";0.9259259;
"NA";"Secondary Energy (PJ/yr)";"NA";"zero values in source"
"SE|Electricity (EJ/yr)";"Secondary Energy|Electricity (PJ/yr)";0.001;
"SE|Electricity|Biomass (EJ/yr)";"Secondary Energy|Electricity|Biomass (TWh/yr)";0.0036;
"SE|Electricity|Biomass|w/ CC (EJ/yr)";"Secondary Energy|Electricity|Biomass|w/ CCS (TWh/yr)";0.0036;
"SE|Electricity|Biomass|w/o CC (EJ/yr)";"Secondary Energy|Electricity|Biomass|w/o CCS (TWh/yr)";0.0036;
"SE|Electricity|Coal (EJ/yr)";"Secondary Energy|Electricity|Coal (TWh/yr)";0.0036;
"SE|Electricity|Coal|w/ CC (EJ/yr)";"Secondary Energy|Electricity|Coal|w/ CCS (TWh/yr)";0.0036;
"SE|Electricity|Coal|w/o CC (EJ/yr)";"Secondary Energy|Electricity|Coal|w/o CCS (TWh/yr)";0.0036;
"SE|Electricity|Gas (EJ/yr)";"Secondary Energy|Electricity|Gas (TWh/yr)";0.0036;
"SE|Electricity|Gas|CC|w/o CC (EJ/yr)";"Secondary Energy|Electricity|Gas|CC|w/o CCS (TWh/yr)";0.0036;
"SE|Electricity|Gas|w/ CC (EJ/yr)";"Secondary Energy|Electricity|Gas|w/ CCS (TWh/yr)";0.0036;
"SE|Electricity|Gas|w/o CC (EJ/yr)";"Secondary Energy|Electricity|Gas|w/o CCS (TWh/yr)";0.0036;
"SE|Electricity|Geothermal (EJ/yr)";"Secondary Energy|Electricity|Geothermal (TWh/yr)";0.0036;
"SE|Electricity|Hydro (EJ/yr)";"Secondary Energy|Electricity|Hydro (TWh/yr)";0.0036;
"SE|Electricity|Hydrogen (EJ/yr)";"Secondary Energy|Electricity|Hydrogen (TWh/yr)";0.0036;
"SE|Electricity|Nuclear (EJ/yr)";"Secondary Energy|Electricity|Nuclear (TWh/yr)";0.0036;
"SE|Electricity|Oil (EJ/yr)";"Secondary Energy|Electricity|Oil (TWh/yr)";0.0036;
"SE|Electricity|Solar (EJ/yr)";"Secondary Energy|Electricity|Solar (TWh/yr)";0.0036;
"SE|Electricity|Solar|CSP (EJ/yr)";"Secondary Energy|Electricity|Solar|CSP (TWh/yr)";0.0036;
"SE|Electricity|Solar|PV (EJ/yr)";"Secondary Energy|Electricity|Solar|PV (TWh/yr)";0.0036;
"SE|Electricity|Wind (EJ/yr)";"Secondary Energy|Electricity|Wind (TWh/yr)";0.0036;
"SE|Gases (EJ/yr)";"Secondary Energy|Gases (PJ/yr)";0.001;
"SE|Gases|Biomass (EJ/yr)";"Secondary Energy|Gases|Biomass (PJ/yr)";0.001;
"SE|Gases|Biomass|w/ CC (EJ/yr)";"Secondary Energy|Gases|Biomass|w/ CCS (PJ/yr)";0.001;
"SE|Gases|Biomass|w/o CC (EJ/yr)";"Secondary Energy|Gases|Biomass|w/o CCS (PJ/yr)";0.001;
"SE|Gases|Liquids|Coal (EJ/yr)";"Secondary Energy|Gases|Coal (PJ/yr)";0.001;
"SE|Gases|Liquids|Natural Gas (EJ/yr)";"Secondary Energy|Gases|Natural Gas (PJ/yr)";0.001;
"SE|Heat (EJ/yr)";"Secondary Energy|Heat (PJ/yr)";0.001;
"SE|Heat|Biomass (EJ/yr)";"Secondary Energy|Heat|Biomass (PJ/yr)";0.001;
"NA";"Secondary Energy|Heat|Electricity (PJ/yr)";"NA";
"SE|Heat|Coal (EJ/yr)";"Secondary Energy|Heat|Coal (PJ/yr)";0.001;
"SE|Heat|Gas (EJ/yr)";"Secondary Energy|Heat|Gas (PJ/yr)";0.001;
"SE|Heat|Geothermal (EJ/yr)";"Secondary Energy|Heat|Geothermal (PJ/yr)";0.001;
"SE|Hydrogen (EJ/yr)";"Secondary Energy|Hydrogen (PJ/yr)";0.001;
"SE|Hydrogen|Biomass (EJ/yr)";"Secondary Energy|Hydrogen|Biomass (PJ/yr)";0.001;
"SE|Hydrogen|Biomass|w/ CC (EJ/yr)";"Secondary Energy|Hydrogen|Biomass|w/ CCS (PJ/yr)";0.001;
"SE|Hydrogen|Biomass|w/o CC (EJ/yr)";"Secondary Energy|Hydrogen|Biomass|w/o CCS (PJ/yr)";0.001;
"SE|Hydrogen|Coal (EJ/yr)";"Secondary Energy|Hydrogen|Coal (PJ/yr)";0.001;
"SE|Hydrogen|Coal|w/ CC (EJ/yr)";"Secondary Energy|Hydrogen|Coal|w/ CCS (PJ/yr)";0.001;
"SE|Hydrogen|Coal|w/o CC (EJ/yr)";"Secondary Energy|Hydrogen|Coal|w/o CCS (PJ/yr)";0.001;
"SE|Hydrogen|Electricity (EJ/yr)";"Secondary Energy|Hydrogen|Electricity (PJ/yr)";0.001;
"SE|Hydrogen|Gas (EJ/yr)";"Secondary Energy|Hydrogen|Gas (PJ/yr)";0.001;
"SE|Hydrogen|Gas|w/ CC (EJ/yr)";"Secondary Energy|Hydrogen|Gas|w/ CCS (PJ/yr)";0.001;
"SE|Hydrogen|Gas|w/o CC (EJ/yr)";"Secondary Energy|Hydrogen|Gas|w/o CCS (PJ/yr)";0.001;
"SE|Liquids (EJ/yr)";"Secondary Energy|Liquids (PJ/yr)";0.001;
"SE|Liquids|Biomass (EJ/yr)";"Secondary Energy|Liquids|Biomass (PJ/yr)";0.001;
"SE|Liquids|Biomass|w/ CC (EJ/yr)";"Secondary Energy|Liquids|Biomass|w/ CCS (PJ/yr)";0.001;
"SE|Liquids|Biomass|w/o CC (EJ/yr)";"Secondary Energy|Liquids|Biomass|w/o CCS (PJ/yr)";0.001;
"SE|Liquids|Fossil|Coal (EJ/yr)";"Secondary Energy|Liquids|Coal (PJ/yr)";0.001;
"SE|Liquids|Fossil|Coal|w/ CC (EJ/yr)";"Secondary Energy|Liquids|Coal|w/ CCS (PJ/yr)";0.001;
"SE|Liquids|Fossil|Coal|w/o CC (EJ/yr)";"Secondary Energy|Liquids|Coal|w/o CCS (PJ/yr)";0.001;
"SE|Liquids|Fossil|Gas (EJ/yr)";"Secondary Energy|Liquids|Gas (PJ/yr)";0.001;
"SE|Liquids|Fossil|Oil (EJ/yr)";"Secondary Energy|Liquids|Oil (PJ/yr)";0.001;
"SE|Solids (EJ/yr)";"Secondary Energy|Solids (PJ/yr)";0.001;
"SE|Solids|Biomass (EJ/yr)";"Secondary Energy|Solids|Biomass (PJ/yr)";0.001;
"SE|Solids|Coal (EJ/yr)";"Secondary Energy|Solids|Coal (PJ/yr)";0.001;
"Total Energy costs (billion US$2005/yr)";"Total Energy System Cost (billion EUR2015/yr)";0.9259259;
"Total Energy costs|Electricity (billion US$2005/yr)";"Total Energy System Cost|Power Sector (billion EUR2015/yr)";0.9259259;
"Trade|Biomass (EJ/yr)";"Trade|Primary Energy|Biomass|Volume (PJ/yr)";0.001;
"Trade|Coal (EJ/yr)";"Trade|Primary Energy|Coal|Volume (PJ/yr)";0.001;
"Trade|Gas (EJ/yr)";"Trade|Primary Energy|Gas|Volume (PJ/yr)";0.001;
"Trade|Oil (EJ/yr)";"Trade|Primary Energy|Oil|Volume (PJ/yr)";0.001;
"Trade|Uranium|Mass (ktU/yr)";"Trade|Uranium|Mass (kt U/yr)";1;
"UE|Buildings|Appliances and Light (EJ/yr)";"Useful Energy|Residential and Commercial|Appliances and Lighting (PJ/yr)";0.001;
"UE|Buildings|Appliances and Light|Electricity (EJ/yr)";"Useful Energy|Residential and Commercial|Appliances and Lighting|Electricity (PJ/yr)";0.001;
"UE|Buildings|Cooking and Water (EJ/yr)";"Useful Energy|Residential and Commercial|Water Heating and Cooking (PJ/yr)";0.001;
"UE|Buildings|Cooking and Water|Electricity (EJ/yr)";"Useful Energy|Residential and Commercial|Water Heating and Cooking|Electricity (PJ/yr)";0.001;
"UE|Buildings|Cooking and Water|Electricity|Heat pumps (EJ/yr)";"Useful Energy|Residential and Commercial|Water Heating and Cooking|Electricity|Heat Pumps (PJ/yr)";0.001;
"UE|Buildings|Cooking and Water|Electricity|Resistance (EJ/yr)";"Useful Energy|Residential and Commercial|Water Heating and Cooking|Electricity|Resistive (PJ/yr)";0.001;
"UE|Buildings|Cooking and Water|Gases (EJ/yr)";"Useful Energy|Residential and Commercial|Water Heating and Cooking|Gases (PJ/yr)";0.001;
"UE|Buildings|Cooking and Water|Heat (EJ/yr)";"Useful Energy|Residential and Commercial|Water Heating and Cooking|Heat (PJ/yr)";0.001;
"UE|Buildings|Cooking and Water|Hydrogen (EJ/yr)";"Useful Energy|Residential and Commercial|Water Heating and Cooking|Hydrogen (PJ/yr)";0.001;
"UE|Buildings|Cooking and Water|Liquids (EJ/yr)";"Useful Energy|Residential and Commercial|Water Heating and Cooking|Liquids (PJ/yr)";0.001;
"UE|Buildings|Cooking and Water|Solids (EJ/yr)";"Useful Energy|Residential and Commercial|Water Heating and Cooking|Solids (PJ/yr)";0.001;
"UE|Buildings|Space Cooling (EJ/yr)";"Useful Energy|Residential and Commercial|Space Cooling (PJ/yr)";0.001;
"UE|Buildings|Space Cooling|Electricity (EJ/yr)";"Useful Energy|Residential and Commercial|Space Cooling|Electricity (PJ/yr)";0.001;
"UE|Buildings|Space Heating (EJ/yr)";"Useful Energy|Residential and Commercial|Space Heating (PJ/yr)";0.001;
"UE|Buildings|Space Heating|Electricity (EJ/yr)";"Useful Energy|Residential and Commercial|Space Heating|Electricity (PJ/yr)";0.001;
"UE|Buildings|Space Heating|Electricity|Heat pumps (EJ/yr)";"Useful Energy|Residential and Commercial|Space Heating|Electricity|Heat Pumps (PJ/yr)";0.001;
"UE|Buildings|Space Heating|Electricity|Resistance (EJ/yr)";"Useful Energy|Residential and Commercial|Space Heating|Electricity|Resistive (PJ/yr)";0.001;
"UE|Buildings|Space Heating|Gases (EJ/yr)";"Useful Energy|Residential and Commercial|Space Heating|Gases (PJ/yr)";0.001;
"UE|Buildings|Space Heating|Heat (EJ/yr)";"Useful Energy|Residential and Commercial|Space Heating|Heat (PJ/yr)";0.001;
"UE|Buildings|Space Heating|Hydrogen (EJ/yr)";"Useful Energy|Residential and Commercial|Space Heating|Hydrogen (PJ/yr)";0.001;
"UE|Buildings|Space Heating|Liquids (EJ/yr)";"Useful Energy|Residential and Commercial|Space Heating|Liquids (PJ/yr)";0.001;
"UE|Buildings|Space Heating|Solids (EJ/yr)";"Useful Energy|Residential and Commercial|Space Heating|Solids (PJ/yr)";0.001;
"Emissions|CO2|Energy|Fugitive Emissions (Mt CO2/yr)";"Emissions|CO2|Energy|Fugitive Emissions (Mt CO2/yr)";1;
